ISO_Code,City,AccentCity,Reference_year,Total,Male,Female,Literacy_Rate
gen,geneva,Geneva,2012,74,85,75,High
gly,glynn camp,Glynn Camp,2014,74,29,20,High
gra,gratis,Gratis,2008,74,67,38,High
ham,hammett acres,Hammett Acres,2007,74,50,65,High
har,haralson,Haralson,2014,74,72,98,High
hil,hillcrest,Hillcrest,2000,74,87,51,High
hil,hiltonia,Hiltonia,2002,74,42,78,High
hom,homer,Homer,2004,74,98,74,High
hoo,hood,Hood,2007,74,26,46,High
hub,huber,Huber,2011,74,95,71,High
inm,inman,Inman,2009,74,73,88,High
ive,ivey,Ivey,2003,74,87,71,High
lan,langdon,Langdon,2009,74,31,87,High
le ,le dan,Le Dan,2015,74,31,58,High
lon,long pond,Long Pond,2008,74,51,28,High
los,lost mountain,Lost Mountain,2007,74,66,70,High
lou,louise,Louise,2008,74,61,30,High
lyo,lyons,Lyons,2010,74,66,46,High
mag,magruder,Magruder,2010,74,87,24,High
mea,meadow lark,Meadow Lark,2004,74,79,87,High
mea,meadowview mobile home park,Meadowview Mobile Home Park,2007,74,83,41,High
mis,misty mountain,Misty Mountain,2012,74,94,34,High
mit,mitchell acres,Mitchell Acres,2014,74,56,53,High
mul,mulberry,Mulberry,2015,74,42,81,High
mur,murrayville,Murrayville,2014,74,73,60,High
oci,ocilla,Ocilla,2003,74,77,58,High
old,old ford acres,Old Ford Acres,2006,74,94,91,High
pan,panola,Panola,2003,74,31,63,High
par,park villas,Park Villas,2011,74,95,93,High
par,parksville,Parksville,2004,74,45,81,High
pin,pine ridge point,Pine Ridge Point,2002,74,67,34,High
pir,pirkle woods,Pirkle Woods,2010,74,39,93,High
pos,postwoods,Postwoods,2009,74,39,85,High
rei,reidsboro,Reidsboro,2001,74,78,94,High
rip,ripley,Ripley,2015,74,99,43,High
riv,river north,River North,2010,74,41,85,High
riv,rivermont,Rivermont,2010,74,27,67,High
sai,saint simon mills,Saint Simon Mills,2009,74,82,63,High
sav,savannah beach,Savannah Beach,2003,74,48,98,High
sha,shady grove,Shady Grove,2006,74,90,63,High
sil,silk mills,Silk Mills,2007,74,83,71,High
sle,sleepy hollow,Sleepy Hollow,2002,74,100,73,High
sum,summerville,Summerville,2015,74,96,37,High
sun,sunset heights,Sunset Heights,2007,74,61,65,High
tal,talbotton,Talbotton,2014,74,63,49,High
tam,tammy heights,Tammy Heights,2000,74,45,70,High
tan,tanner,Tanner,2012,74,20,27,High
tur,turin,Turin,2009,74,39,21,High
twi,twickenham,Twickenham,2011,74,90,63,High
uni,university estates,University Estates,2012,74,87,41,High
van,vanceville,Vanceville,2011,74,86,52,High
war,warwick,Warwick,2015,74,32,41,High
wat,waterloo,Waterloo,2013,74,95,64,High
wes,wesley oaks,Wesley Oaks,2017,74,29,32,High
whi,white plains,White Plains,2002,74,68,75,High
whi,whitemarsh island,Whitemarsh Island,2015,74,91,47,High
wym,wymberly-on-the-marsh,Wymberly-On-The-Marsh,2012,74,92,52,High
lig,liguan terrace,Liguan Terrace,2013,74,91,83,High
kap,kapaia,Kapaia,2000,74,62,27,High
kaw,kawela,Kawela,2009,74,65,59,High
yun,yung hee village,Yung Hee Village,2005,74,91,26,High
ato,atomic city,Atomic City,2009,74,44,38,High
bar,barlow,Barlow,2000,74,85,96,High
bro,broten,Broten,2000,74,62,76,High
ced,cedron,Cedron,2009,74,73,57,High
cha,challis,Challis,2001,74,66,24,High
coc,cocolalla,Cocolalla,2015,74,57,31,High
cra,craig junction,Craig Junction,2000,74,51,32,High
egi,egin,Egin,2001,74,27,60,High
fro,frost place,Frost Place,2001,74,47,85,High
gra,grand view,Grand View,2017,74,47,23,High
hah,hahn,Hahn,2011,74,31,89,High
jim,jim moore place,Jim Moore Place,2011,74,30,58,High
kno,knowlton heights,Knowlton Heights,2017,74,66,27,High
lam,lamb creek,Lamb Creek,2006,74,68,78,High
mor,mora,Mora,2001,74,30,54,High
nap,naples,Naples,2015,74,23,75,High
obs,obsidian,Obsidian,2013,74,97,95,High
sch,schow,Schow,2011,74,71,62,High
she,shells lick,Shells Lick,2013,74,31,27,High
bak,bakers crossroads,Bakers Crossroads,2005,74,64,56,High
che,cherry hill,Cherry Hill,2012,74,49,25,High
col,coldbrook,Coldbrook,2004,74,25,63,High
col,columbus,Columbus,2013,74,26,24,High
cry,crystal lawns,Crystal Lawns,2008,74,60,49,High
dal,dallas city,Dallas City,2013,74,100,100,High
dav,davis junction,Davis Junction,2005,74,27,60,High
del,delong,Delong,2008,74,50,33,High
don,donovan,Donovan,2006,74,48,51,High
dru,drummond,Drummond,2009,74,82,37,High
duv,duvall,Duvall,2002,74,72,72,High
elk,elkhorn grove,Elkhorn Grove,2011,74,71,26,High
enf,enfield,Enfield,2013,74,78,100,High
fox,fox river valley gardens,Fox River Valley Gardens,2008,74,60,50,High
gea,gears ferry,Gears Ferry,2002,74,40,40,High
ham,hamburg,Hamburg,2014,74,79,52,High
har,hardinville,Hardinville,2012,74,55,51,High
kel,kellerville,Kellerville,2012,74,78,61,High
kel,kellyville,Kellyville,2009,74,60,48,High
leo,leonard,Leonard,2000,74,37,42,High
lin,lincoln heights,Lincoln Heights,2009,74,49,34,High
met,metropolis,Metropolis,2004,74,62,79,High
mid,middleton,Middleton,2005,74,46,58,High
mon,monee,Monee,2017,74,75,63,High
nor,north peoria,North Peoria,2005,74,31,55,High
oil,oilfield,Oilfield,2017,74,25,36,High
pal,palisades,Palisades,2015,74,76,80,High
pau,paulton,Paulton,2006,74,48,81,High
pen,pennington point,Pennington Point,2003,74,55,63,High
ren,rennerville,Rennerville,2010,74,29,62,High
rid,ridgway,Ridgway,2013,74,69,84,High
sou,southern view,Southern View,2017,74,36,83,High
sug,sugar island,Sugar Island,2013,74,43,86,High
tic,ticona,Ticona,2008,74,99,24,High
tra,trailpark gardens,Trailpark Gardens,2005,74,41,54,High
tro,trout valley,Trout Valley,2011,74,21,46,High
uni,union grove,Union Grove,2016,74,98,68,High
wil,williamsburg,Williamsburg,2008,74,66,49,High
woo,woodside,Woodside,2006,74,79,80,High
ans,ansley acres,Ansley Acres,2004,74,40,80,High
aul,aultshire,Aultshire,2002,74,30,64,High
but,butlerville,Butlerville,2010,74,56,29,High
gar,garden city,Garden City,2004,74,97,51,High
her,herbamount,Herbamount,2005,74,28,22,High
hun,huntsville,Huntsville,2013,74,29,55,High
hyn,hyndsdale,Hyndsdale,2017,74,45,81,High
kni,knight ridge,Knight Ridge,2011,74,61,27,High
lig,liggett,Liggett,2008,74,59,24,High
mal,maltersville,Maltersville,2015,74,91,31,High
mcg,mcgrawsville,Mcgrawsville,2012,74,26,82,High
moo,moorestown,Moorestown,2006,74,60,62,High
new,new discovery,New Discovery,2015,74,39,33,High
new,new whiteland,New Whiteland,2016,74,49,42,High
osg,osgood,Osgood,2008,74,96,20,High
plu,plum tree,Plum Tree,2010,74,98,97,High
ret,retreat,Retreat,2002,74,62,80,High
riv,riverside,Riverside,2013,74,38,73,High
ste,stewart,Stewart,2010,74,58,73,High
tho,thornhope,Thornhope,2003,74,37,90,High
twe,twelve points,Twelve Points,2009,74,58,65,High
uni,union,Union,2000,74,97,36,High
wal,walesboro,Walesboro,2011,74,59,42,High
woo,wooley corner,Wooley Corner,2013,74,38,70,High
yel,yellow bank,Yellow Bank,2005,74,53,38,High
amb,ambrose,Ambrose,2010,74,22,42,High
arr,arrowhead mobile home park,Arrowhead Mobile Home Park,2004,74,73,59,High
bal,ballyclough,Ballyclough,2006,74,52,21,High
bea,beacon,Beacon,2006,74,75,68,High
bro,brookville,Brookville,2003,74,39,68,High
bur,burr oak,Burr Oak,2017,74,39,67,High
car,carter lake,Carter Lake,2006,74,21,97,High
cla,clay mills,Clay Mills,2006,74,24,95,High
don,donahue,Donahue,2015,74,34,70,High
fai,fairville,Fairville,2002,74,23,23,High
fis,fiscus,Fiscus,2000,74,47,98,High
fos,fostoria,Fostoria,2013,74,35,98,High
gar,gardiner,Gardiner,2005,74,100,41,High
gol,golden spike mobile home park,Golden Spike Mobile Home Park,2017,74,75,39,High
gra,granite,Granite,2015,74,27,82,High
gra,grant city,Grant City,2016,74,46,72,High
ire,ireton,Ireton,2011,74,71,42,High
lit,little groves,Little Groves,2009,74,57,64,High
mar,mary hill,Mary Hill,2015,74,39,43,High
oss,ossian,Ossian,2000,74,60,76,High
pau,paullina,Paullina,2004,74,76,100,High
spr,springdale,Springdale,2016,74,34,69,High
sto,stockport,Stockport,2005,74,60,73,High
ash,ash grove,Ash Grove,2017,74,47,85,High
att,attica,Attica,2009,74,45,100,High
bat,batesville,Batesville,2011,74,25,39,High
bus,busby,Busby,2000,74,54,44,High
cai,cairo,Cairo,2011,74,55,51,High
che,chepstow,Chepstow,2016,74,28,84,High
cic,cicero,Cicero,2012,74,46,24,High
col,collyer,Collyer,2011,74,81,72,High
dal,dalbey,Dalbey,2017,74,84,40,High
dal,dale,Dale,2009,74,53,73,High
don,doniphan,Doniphan,2003,74,79,85,High
gal,galva,Galva,2001,74,41,67,High
haw,hawthorne,Hawthorne,2017,74,72,77,High
kan,kanopolis,Kanopolis,2012,74,29,53,High
lap,lapland,Lapland,2001,74,59,81,High
leo,leon,Leon,2000,74,21,77,High
mon,montrose,Montrose,2002,74,98,44,High
nor,noria,Noria,2003,74,86,88,High
pol,polk,Polk,2014,74,94,84,High
pra,prairie village,Prairie Village,2000,74,77,55,High
whi,whitman,Whitman,2006,74,45,26,High
wil,wilder,Wilder,2012,74,26,90,High
win,windom,Windom,2012,74,76,65,High
ado,adolphus,Adolphus,2004,74,38,98,High
art,artville,Artville,2005,74,86,81,High
bap,baptist,Baptist,2009,74,66,45,High
bug,bugtussle,Bugtussle,2000,74,65,100,High
cub,cub run,Cub Run,2004,74,82,74,High
dea,deanefield,Deanefield,2001,74,68,53,High
dix,dixie,Dixie,2002,74,89,85,High
dry,dry fork,Dry Fork,2004,74,28,68,High
ell,elliottville,Elliottville,2006,74,61,30,High
fay,faye,Faye,2007,74,92,77,High
fre,freedom,Freedom,2001,74,81,48,High
gra,gracey,Gracey,2011,74,52,80,High
hal,haldeman,Haldeman,2013,74,57,29,High
hay,haynesville,Haynesville,2001,74,65,65,High
hay,hayward,Hayward,2001,74,59,28,High
her,herdon,Herdon,2010,74,39,76,High
hoo,hooktown,Hooktown,2013,74,75,34,High
law,lawhorn hill,Lawhorn Hill,2005,74,60,56,High
low,lower buffalo,Lower Buffalo,2010,74,34,66,High
lyn,lynnville,Lynnville,2016,74,92,56,High
maj,majestic,Majestic,2014,74,79,44,High
mun,munk,Munk,2012,74,80,97,High
nor,north middletown,North Middletown,2015,74,33,49,High
oak,oak hill,Oak Hill,2002,74,94,96,High
oil,oilton,Oilton,2012,74,57,46,High
plu,plum,Plum,2013,74,97,66,High
pom,pomeroyton,Pomeroyton,2008,74,79,33,High
ran,randy,Randy,2012,74,33,59,High
ray,raydure,Raydure,2007,74,87,39,High
ric,richardson,Richardson,2004,74,61,96,High
rou,roundhill,Roundhill,2008,74,40,29,High
sho,shopville,Shopville,2013,74,26,99,High
sou,south park view,South Park View,2015,74,92,76,High
spr,sprule,Sprule,2010,74,60,58,High
ste,stewartsville,Stewartsville,2012,74,29,55,High
str,strathmoor manor,Strathmoor Manor,2011,74,43,67,High
uni,union mills,Union Mills,2013,74,97,20,High
uni,union ridge,Union Ridge,2013,74,40,55,High
wra,wray gap,Wray Gap,2016,74,54,54,High
bel,belle river,Belle River,2007,74,47,21,High
bet,bethany,Bethany,2010,74,98,22,High
big,big creek,Big Creek,2008,74,40,64,High
bre,breard,Breard,2004,74,89,83,High
chi,chinquapin park,Chinquapin Park,2016,74,25,45,High
clo,cloutierville,Cloutierville,2015,74,60,57,High
des,dess,Dess,2004,74,66,52,High
dun,dunbarton,Dunbarton,2006,74,89,40,High
ent,enterprise,Enterprise,2007,74,21,60,High
est,esther,Esther,2015,74,64,85,High
fai,fairview alpha,Fairview Alpha,2001,74,83,69,High
gal,galion,Galion,2015,74,52,95,High
gal,galvez,Galvez,2008,74,49,76,High
hun,huntington park,Huntington Park,2010,74,76,80,High
ind,independence,Independence,2016,74,93,80,High
lar,larto,Larto,2013,74,47,59,High
lec,lecompte,Lecompte,2003,74,70,29,High
lun,luna,Luna,2009,74,88,72,High
mou,mount airy,Mount Airy,2017,74,99,35,High
mou,mount union,Mount Union,2005,74,43,33,High
nob,nobrac,Nobrac,2001,74,55,41,High
nor,norma,Norma,2001,74,39,81,High
oak,oakley,Oakley,2006,74,88,51,High
oxf,oxford,Oxford,2012,74,75,55,High
pin,pine coupee,Pine Coupee,2001,74,87,94,High
qua,quail creek estates,Quail Creek Estates,2002,74,87,46,High
she,shenandoah,Shenandoah,2011,74,93,78,High
spr,springhill,Springhill,2014,74,26,23,High
sta,stampley,Stampley,2010,74,83,100,High
sta,star,Star,2004,74,44,88,High
sto,story,Story,2012,74,39,30,High
tal,talbot landing,Talbot Landing,2012,74,60,69,High
tex,texas,Texas,2010,74,91,91,High
tur,turps,Turps,2008,74,77,61,High
uni,union hill,Union Hill,2016,74,55,26,High
ven,venetian isles,Venetian Isles,2004,74,89,69,High
vie,vienna,Vienna,2008,74,37,64,High
whi,whittington,Whittington,2003,74,67,57,High
win,winnsboro,Winnsboro,2001,74,27,45,High
aga,agamenticus station,Agamenticus Station,2013,74,59,58,High
avo,avon,Avon,2007,74,74,88,High
eas,east madrid,East Madrid,2004,74,52,75,High
eas,east wilton,East Wilton,2003,74,100,67,High
eve,evergreen landing,Evergreen Landing,2002,74,60,26,High
hal,hale,Hale,2012,74,66,96,High
har,harwards,Harwards,2014,74,77,63,High
int,intervale,Intervale,2006,74,74,36,High
jac,jackins settlement,Jackins Settlement,2015,74,74,96,High
mit,mitchell corner,Mitchell Corner,2016,74,68,77,High
nor,north appleton,North Appleton,2011,74,74,84,High
pel,pelton hill,Pelton Hill,2003,74,66,66,High
pem,pemaquid,Pemaquid,2013,74,35,90,High
rob,robinson corner,Robinson Corner,2015,74,87,73,High
sac,saco,Saco,2008,74,80,91,High
san,sandy brook,Sandy Brook,2005,74,75,83,High
sed,sedgwick,Sedgwick,2009,74,54,88,High
sha,shaw mills,Shaw Mills,2004,74,42,72,High
spr,springfield,Springfield,2009,74,68,52,High
win,winterville,Winterville,2009,74,41,51,High
woo,woodbridge corner,Woodbridge Corner,2015,74,94,53,High
alp,alpine view,Alpine View,2015,74,34,70,High
amy,amyclae estates,Amyclae Estates,2015,74,80,62,High
app,apple greene,Apple Greene,2017,74,35,72,High
asp,aspen hill,Aspen Hill,2004,74,97,47,High
aut,autumn chase at riva trace,Autumn Chase At Riva Trace,2014,74,100,59,High
bal,ballenger heights,Ballenger Heights,2002,74,35,98,High
ban,bannockburn,Bannockburn,2009,74,53,80,High
bel,bellevue,Bellevue,2005,74,27,69,High
bre,brewster heights,Brewster Heights,2015,74,34,62,High
cha,chase eden,Chase Eden,2009,74,26,100,High
chr,chris mar estates,Chris Mar Estates,2015,74,44,55,High
coh,cohansey village,Cohansey Village,2014,74,32,58,High
coh,cohill estates,Cohill Estates,2012,74,58,38,High
col,columbia hills,Columbia Hills,2007,74,59,54,High
cro,cromwood,Cromwood,2010,74,70,75,High
dee,deep branch,Deep Branch,2005,74,32,59,High
dee,deerpark,Deerpark,2009,74,22,84,High
ear,earles branch,Earles Branch,2015,74,39,79,High
edg,edgemere,Edgemere,2010,74,85,39,High
edg,edgeview,Edgeview,2000,74,58,85,High
elk,elkton,Elkton,2013,74,21,100,High
fai,fairplay,Fairplay,2007,74,25,47,High
fet,fetrows,Fetrows,2015,74,65,50,High
fox,fox rest,Fox Rest,2013,74,57,70,High
gam,gambrill south,Gambrill South,2013,74,43,45,High
gre,greenspring hill,Greenspring Hill,2007,74,29,53,High
ham,hampden,Hampden,2010,74,52,69,High
hol,holland hills,Holland Hills,2011,74,88,38,High
hun,hunt club acres,Hunt Club Acres,2015,74,49,82,High
ivy,ivy hill way,Ivy Hill Way,2006,74,84,78,High
ken,kennersley,Kennersley,2010,74,48,74,High
kin,kinhart manor,Kinhart Manor,2001,74,97,59,High
lak,lakeview trailer park,Lakeview Trailer Park,2008,74,96,84,High
lea,leachburg,Leachburg,2001,74,33,38,High
lon,london bridge estates,London Bridge Estates,2014,74,65,100,High
lou,lou mar estates,Lou Mar Estates,2006,74,73,85,High
mad,madonna,Madonna,2016,74,22,64,High
mel,melson,Melson,2006,74,22,36,High
moo,moorings on the magothy,Moorings On The Magothy,2008,74,32,82,High
mou,mount radnor heights,Mount Radnor Heights,2016,74,99,55,High
my ,my ladys manor estates,My Ladys Manor Estates,2001,74,37,61,High
par,parkland,Parkland,2013,74,96,26,High
par,parkview,Parkview,2003,74,49,30,High
ple,pleasant run,Pleasant Run,2008,74,80,26,High
poi,point of rocks,Point Of Rocks,2014,74,85,43,High
pol,polo club estates,Polo Club Estates,2008,74,88,20,High
que,queen anne woods,Queen Anne Woods,2001,74,93,67,High
ree,reece heights,Reece Heights,2007,74,28,100,High
rei,reichs ford estates,Reichs Ford Estates,2015,74,58,78,High
riv,riverdale park,Riverdale Park,2012,74,40,98,High
rol,rolling green,Rolling Green,2013,74,51,71,High
ros,rosswood estates,Rosswood Estates,2013,74,26,97,High
rug,rugby hall estates,Rugby Hall Estates,2008,74,65,78,High
sev,seven havens,Seven Havens,2002,74,24,40,High
sev,severna gardens,Severna Gardens,2004,74,65,89,High
sny,snydersburg,Snydersburg,2003,74,57,28,High
spr,spring cove,Spring Cove,2007,74,42,47,High
ste,stewarts purchase,Stewarts Purchase,2000,74,86,96,High
t b,t b,T B,2004,74,46,84,High
tel,television hill,Television Hill,2013,74,85,27,High
two,two johns estates,Two Johns Estates,2011,74,61,73,High
uni,unity,Unity,2000,74,43,55,High
wat,water oak point,Water Oak Point,2016,74,45,94,High
wav,waverly island estates,Waverly Island Estates,2002,74,83,79,High
wes,wesley woods,Wesley Woods,2005,74,73,78,High
wes,west view terrace,West View Terrace,2005,74,97,67,High
whi,white point beach,White Point Beach,2005,74,75,35,High
wic,wickford,Wickford,2013,74,48,55,High
wil,williamsburg square,Williamsburg Square,2013,74,71,42,High
woo,woodland heights,Woodland Heights,2007,74,69,91,High
woo,woodleaf,Woodleaf,2017,74,62,54,High
wyn,wynfield,Wynfield,2003,74,68,27,High
ber,bernardston,Bernardston,2014,74,36,36,High
blo,bloomingdale,Bloomingdale,2008,74,26,61,High
bra,braytonville,Braytonville,2014,74,42,97,High
cam,camp chappa challa,Camp Chappa Challa,2006,74,21,76,High
cam,camp immaculate heart,Camp Immaculate Heart,2010,74,84,47,High
car,carey corner,Carey Corner,2012,74,67,95,High
che,cheshire harbor,Cheshire Harbor,2010,74,96,45,High
coc,cochituate,Cochituate,2008,74,37,40,High
cro,crooks corner,Crooks Corner,2010,74,70,48,High
der,derby wharf,Derby Wharf,2000,74,26,48,High
eas,east braintree,East Braintree,2013,74,41,82,High
hun,huntington,Huntington,2013,74,29,44,High
kem,kempton croft,Kempton Croft,2010,74,86,95,High
mar,marshfield,Marshfield,2015,74,27,28,High
mik,mikas pond,Mikas Pond,2013,74,69,25,High
oak,oakland square,Oakland Square,2003,74,50,39,High
pay,payson park,Payson Park,2015,74,95,100,High
pin,pinehurst,Pinehurst,2000,74,54,20,High
roy,royalston,Royalston,2013,74,53,87,High
rus,russells mills,Russells Mills,2012,74,39,89,High
sav,savoy,Savoy,2002,74,27,28,High
sea,sea view,Sea View,2006,74,93,80,High
som,somerset,Somerset,2015,74,41,98,High
sta,staples corner,Staples Corner,2015,74,31,25,High
sud,sudbury,Sudbury,2007,74,84,76,High
wau,wauwinet,Wauwinet,2000,74,66,37,High
wes,west berlin,West Berlin,2008,74,39,57,High
wes,west dudley,West Dudley,2011,74,44,75,High
wes,west farms,West Farms,2017,74,66,69,High
wes,west whately,West Whately,2013,74,80,54,High
whi,whittenton,Whittenton,2017,74,97,75,High
alg,algansee,Algansee,2015,74,40,63,High
all,allendale,Allendale,2008,74,69,28,High
ave,averill,Averill,2006,74,98,87,High
bal,baltic,Baltic,2011,74,44,59,High
bar,barryton,Barryton,2002,74,92,42,High
bur,burton,Burton,2017,74,96,69,High
can,canfield beach,Canfield Beach,2009,74,37,35,High
ced,cedar creek,Cedar Creek,2016,74,76,70,High
cha,channing,Channing,2007,74,39,84,High
don,donahue beach,Donahue Beach,2009,74,86,56,High
eck,eckerman corner,Eckerman Corner,2003,74,54,76,High
elb,elbow lake,Elbow Lake,2000,74,20,64,High
fab,fabius,Fabius,2008,74,45,56,High
fra,frain lake,Frain Lake,2017,74,89,35,High
fre,freeport,Freeport,2002,74,78,98,High
goe,goetzville,Goetzville,2015,74,83,72,High
gro,groveland corners,Groveland Corners,2014,74,86,72,High
ish,ishpeming,Ishpeming,2002,74,93,100,High
jen,jennings,Jennings,2005,74,60,52,High
kib,kibbie,Kibbie,2013,74,67,89,High
kin,kings corner,Kings Corner,2000,74,77,54,High
lar,larch,Larch,2003,74,98,20,High
lud,ludington,Ludington,2015,74,54,74,High
nin,nine mile,Nine Mile,2014,74,91,43,High
oak,oak shade park,Oak Shade Park,2003,74,37,85,High
par,parkers corners,Parkers Corners,2017,74,88,85,High
pea,pearl beach,Pearl Beach,2000,74,88,98,High
pin,pine ridge,Pine Ridge,2008,74,99,64,High
por,port dolomite,Port Dolomite,2015,74,66,67,High
ram,ramona,Ramona,2006,74,52,96,High
ros,ross,Ross,2013,74,22,35,High
see,seewhy,Seewhy,2009,74,70,43,High
smy,smyrna,Smyrna,2014,74,22,69,High
sup,superior,Superior,2003,74,96,82,High
tob,tobico beach,Tobico Beach,2002,74,41,22,High
tus,tustin,Tustin,2004,74,61,77,High
upd,updyke,Updyke,2013,74,96,60,High
whi,white pine,White Pine,2003,74,31,58,High
fan,fanomo,Fanomo,2014,74,22,99,High
fou,foupo,Foupo,2001,74,99,88,High
kol,kolonia,Kolonia,2010,74,100,86,High
mal,malewe,Malewe,2015,74,60,54,High
mee,meer,Meer,2006,74,26,98,High
mes,messa,Messa,2015,74,31,72,High
nan,nankepkep,Nankepkep,2001,74,96,66,High
par,parau,Parau,2003,74,50,98,High
poh,pohn semwet,Pohn Semwet,2001,74,36,94,High
qok,qokaaw,Qokaaw,2003,74,85,62,High
and,andree,Andree,2009,74,34,50,High
aur,aurora,Aurora,2017,74,24,72,High
bay,bayport,Bayport,2001,74,100,95,High
bow,bowlus,Bowlus,2008,74,68,34,High
bro,brook park,Brook Park,2003,74,65,71,High
ech,echols,Echols,2011,74,60,39,High
gre,greenleafton,Greenleafton,2003,74,78,89,High
had,hadley,Hadley,2001,74,82,58,High
hei,heiberg,Heiberg,2014,74,44,98,High
hol,holman,Holman,2005,74,96,30,High
idi,idington,Idington,2010,74,94,80,High
lak,lake benton,Lake Benton,2008,74,93,44,High
lak,lake bronson,Lake Bronson,2011,74,81,91,High
lam,lamson,Lamson,2016,74,50,64,High
lit,little rock,Little Rock,2007,74,34,23,High
map,mapleview,Mapleview,2009,74,85,89,High
mei,meire grove,Meire Grove,2006,74,45,77,High
min,minnewawa,Minnewawa,2017,74,26,26,High
net,nett lake,Nett Lake,2009,74,41,43,High
one,oneota,Oneota,2011,74,70,99,High
rol,rollag,Rollag,2012,74,20,41,High
san,santiago,Santiago,2012,74,53,86,High
ste,sterling center,Sterling Center,2010,74,68,71,High
urb,urbank,Urbank,2015,74,74,59,High
wal,walnut grove,Walnut Grove,2009,74,70,71,High
wau,waukon,Waukon,2015,74,76,68,High
wil,wilkinson,Wilkinson,2006,74,36,31,High
yol,yola,Yola,2014,74,88,49,High
ash,ashwood,Ashwood,2016,74,94,28,High
bee,beech springs,Beech Springs,2012,74,93,78,High
bre,breland,Breland,2013,74,97,43,High
bro,browning,Browning,2015,74,60,25,High
cha,chapelville,Chapelville,2001,74,38,40,High
cyn,cynthia,Cynthia,2015,74,99,27,High
ded,dedeaux,Dedeaux,2016,74,71,83,High
dun,dundee,Dundee,2010,74,69,94,High
for,forkville,Forkville,2003,74,98,38,High
jef,jeff,Jeff,2012,74,99,57,High
mil,milltown,Milltown,2012,74,31,44,High
nei,neil,Neil,2017,74,20,89,High
nor,north gulfport,North Gulfport,2014,74,68,60,High
oil,oil city,Oil City,2009,74,44,74,High
ome,omega,Omega,2016,74,84,82,High
rob,robbs,Robbs,2005,74,34,38,High
spe,speedtown,Speedtown,2000,74,96,33,High
spe,speeds addition,Speeds Addition,2017,74,99,35,High
tho,thomastown,Thomastown,2012,74,58,67,High
uni,union hall,Union Hall,2010,74,47,50,High
wes,westside,Westside,2014,74,68,74,High
alb,albatross,Albatross,2016,74,71,73,High
alp,alpha,Alpha,2003,74,84,47,High
ban,banner,Banner,2009,74,45,37,High
bro,brooklyn,Brooklyn,2004,74,74,55,High
bur,burtonville,Burtonville,2006,74,55,98,High
car,cardy,Cardy,2010,74,96,90,High
cov,cove,Cove,2003,74,70,69,High
cyr,cyrus,Cyrus,2015,74,73,71,High
des,des peres,Des Peres,2015,74,96,64,High
ech,echo,Echo,2006,74,42,22,High
edg,edgewater beach,Edgewater Beach,2005,74,60,70,High
fou,fountain n lakes,Fountain N Lakes,2013,74,24,29,High
fre,freeburg,Freeburg,2000,74,76,75,High
gow,gowdy,Gowdy,2008,74,32,26,High
hol,hollis,Hollis,2016,74,71,83,High
how,howardville,Howardville,2009,74,77,72,High
kir,kirk,Kirk,2001,74,24,44,High
