City,Ease_of_Transport_Rank,Transport_level
Blue Creek,409,High
Blue Creek Junction,410,High
Blue Eye,411,High
Blue Ford Landing,412,High
Blue Mountain,413,High
Blue Pond,414,High
Blue Ridge,415,High
Blue Springs,416,High
Blue Springs Park,417,High
Blues Old Stand,418,High
Bluff,419,High
Bluff City,420,High
Bluff Park,421,High
Bluff Ridge Subdivision,422,High
Bluffport,423,High
Bluff Springs,424,High
Bluffton,425,High
Boar Tush,426,High
Boaz,427,High
Boaz Corner,428,High
Bobo,429,High
Bogue Chitto,430,High
Bogueloosa,431,High
Bohannon Ford,432,High
Boiling Spring,433,High
Boiling Springs,434,High
Boldo,435,High
Boley Springs,436,High
Boligee,437,High
Bolivar,438,High
Bolinger,439,High
Bolling,440,High
Bolte,441,High
Bomar,442,High
Bon Acre Landing,443,High
Bon Air,444,High
Bon Secour,445,High
Bon-Air,446,High
Bonita,447,High
Bonneville,448,High
Bonnie Doone,449,High
Bonny Brook,450,High
Booker Heights,451,High
Booker T City,452,High
Bookers Mill,453,High
Booneville,454,High
Boot Hill,455,High
Booth,456,High
Booth Ford,457,High
Boothetown,458,High
Boothton,459,High
Borden Springs,460,High
Borden Wheeler Springs,461,High
Boromville,462,High
Bostic,463,High
Boston,464,High
Bosworth,465,High
Bowden Grove,466,High
Bowles,467,High
Bowman Crossroads,468,High
Boxtel,469,High
Boyd,470,High
Boyds,471,High
Boykin,472,High
Boyles Highlands,473,High
Boylston,474,High
Bradford,475,High
Bradley,476,High
Bradley Landing,477,High
Bradleyton,478,High
Bradleytown,479,High
Braggs,480,High
Braggsville,481,High
Braggville,482,High
Branchville,483,High
Brandontown,484,High
Brannon Stand,485,High
Brannon Stand Heights,486,High
Brans Chapel,487,High
Brantley,488,High
Brantley Crossing,489,High
Brantleyville,490,High
Brasfield Landing,491,High
Brassell,492,High
Brassell Bottom,493,High
Bread Tray Hill,494,High
Breezeway Bay,495,High
Bremen,496,High
Brent,497,High
Brentwood,498,High
Brents Cross Roads,499,High
Brewersville,500,High
Brewton,501,High
Briar Hill,502,High
Briar Lake Estates,503,High
Briarcliff Estates,504,High
Briarfield,505,High
Brice,506,High
Brickyard,507,High
Brickyard Junction,508,High
Brides Hill,509,High
Bridgehead,510,High
Bridgeport,511,High
Bridgeport Landing,512,High
Bridgeton,513,High
Bridgeville,514,High
Bridlewood Forest Estates,515,High
Brierfield,516,High
Bright Star,517,High
Brighton,518,High
Brightwater,519,High
Brilliant,520,High
Brinn,521,High
Briscoe,522,High
Bristow,523,High
Broach Mill,524,High
Bromley,525,High
Brompton,526,High
Brook Highland,527,High
Brookhurst,528,High
Brooklane Place,529,High
Brooklyn,530,High
Brooks,531,High
Brooks Acres,532,High
Brooks Crossroads,533,High
Brookside,534,High
Brooksville,535,High
Brookwood,536,High
Brookwood Forest,537,High
Broomtown,538,High
Broughton,539,High
Brown Estates,540,High
Browns,541,High
Browns Corner,542,High
Browns Crossroad,543,High
Browns Landing,544,High
Brownsboro,545,High
Brownstown,546,High
Brownsville,547,High
Browntown,548,High
Brownville,549,High
Bruceville,550,High
Brundidge,551,High
Brush Creek,552,High
Brushy Pond,553,High
Brushy Creek,554,High
Brutonville,555,High
Bryan,556,High
Bryant,557,High
Bryant Landing,558,High
Buck Island Shores,559,High
Buckhorn,560,High
Bucks,561,High
Bucksnort,562,High
Bucksville,563,High
Buckville,564,High
Buena Vista,565,High
Buena Vista Highlands,566,High
Buffalo,567,High
Buhl,568,High
Bulgers,569,High
Bull City,570,High
Bullock,571,High
Burbank,572,High
Burchfield,573,High
Burgess,574,High
Burgreen Gin,575,High
Burkhalter Subdivision,576,High
Burkville,577,High
Burlington,578,High
Burningtree Estates,579,High
Burningtree Mountain,580,High
Burns,581,High
Burns Crossroad,582,High
Burnstown,583,High
Burnsville,584,High
Burnt Corn,585,High
Burntout,586,High
Burnwell,587,High
Burrows,588,High
Burrows Crossroads,589,High
Bush,590,High
Butler,591,High
Butler Mill,592,High
Butler Springs,593,High
Butlers Mill,594,High
Butts Mill,595,High
Buttston,596,High
Buyck,597,High
Buzbee Landing,598,High
Bynum,599,High
Byrd,600,High
Caddo,601,High
Caffee Junction,602,High
Cahaba,603,High
Cahaba Cliffs,604,High
Cahaba Commons,605,High
Cahaba Crest,606,High
Cahaba Heights,607,High
Cahaba Hills,608,High
Cahaba Oaks,609,High
Cahaba River Estates,610,High
Cahaba Valley Estates,611,High
Cain Landing,612,High
Cairo,613,High
Calcis,614,High
Caldwell,615,High
Calebee,616,High
Caledonia,617,High
Calera,618,High
Calhoun,619,High
Calliston,620,High
Calumet,621,High
Calvary,622,High
Calvert,623,High
Cambridge,624,High
Camden,625,High
Camelot,626,High
Camelot Plateau,627,High
Cameron,628,High
Cameronsville,629,High
Camp Branch,630,High
Camp Ground,631,High
Camp Hill,632,High
Camp Horne,633,High
Campbell,634,High
Campbell Mill,635,High
Campbell Springs,636,High
Campbells Crossroads,637,High
Campbells Landing,638,High
Campbellville,639,High
Campground,640,High
Canaan,641,High
Candlewood Lakes,642,High
Cane Creek,643,High
Canoe,644,High
Cantelous,645,High
Canty,646,High
Cape Choccolocco,647,High
Capps,648,High
Capri Islands,649,High
Capshaw,650,High
Carara,651,High
Carbon Hill,652,High
Card Switch,653,High
Cardiff,654,High
Carey,655,High
Carl Smith Subdivision,656,High
Carleton Point,657,High
Carleys,658,High
Carlisle,659,High
Carloss,660,High
Carlowville,661,High
Carlton,662,High
Carmen,663,High
Carney,664,High
Carns,665,High
Carolina,666,High
Carpenter,667,High
Carr Mill,668,High
Carriage Hills,669,High
Carroll Crossroads,670,High
Carrollton,671,High
Carrville,672,High
Carson,673,High
Carter Grove,674,High
Carter Subdivision,675,High
Carters Hill,676,High
Cartersville,677,High
Cartwright,678,High
Casemore,679,High
Casey,680,High
Castleberry,681,High
Caswell,682,High
Catalpa,683,High
Catherine,684,High
Catoma,685,High
Cavalry Hill,686,High
Cave Spring,687,High
Cave Springs,688,High
Cavers Grove,689,High
Cecil,690,High
Cedar Bluff,691,High
Cedar Cove,692,High
Cedar Cove Estates,693,High
Cedar Grove,694,High
Cedar Hill,695,High
Cedar Hills Estates,696,High
Cedar Lake,697,High
Cedar Plains,698,High
Cedar Point,699,High
Cedar Springs,700,High
Cedarville,701,High
Cedron,702,High
Cedrum,703,High
Celeste,704,High
Centenary,705,High
Center,706,High
Center Chapel,707,High
Center Community,708,High
Center Dale,709,High
Center Grove,710,High
Center Hill,711,High
Center Point,712,High
Center Point Gardens,713,High
Center Ridge,714,High
Center Star,715,High
Center West,716,High
Centercrest,717,High
Centerville,718,High
Centerwood Estates,719,High
Central,720,High
Central City,721,High
Central Highlands,722,High
Central Heights,723,High
Central Mills,724,High
Central Park Highlands,725,High
Centre,726,High
Centreville,727,High
Chalkville,728,High
Chalybeate Springs,729,High
Chambers,730,High
Chambers Springs,731,High
Chamblee,732,High
Chamblees Mill,733,High
Champion,734,High
Chana Creek,735,High
Chance,736,High
Chancellor,737,High
Chancellor Crossroads,738,High
Chances Crossroad,739,High
Chandler Mountain,740,High
Chandler Springs,741,High
Chapel Hill,742,High
Chapman,743,High
Chapman Heights,744,High
Chappell Hill,745,High
Chase,746,High
Chastang,747,High
Chateau Estates,748,High
Chatom,749,High
Chavies,750,High
Chehaw,751,High
Chelsea,752,High
Chepultepec,753,High
Cherokee,754,High
Cherokee Acres,755,High
Cherokee Beach,756,High
Cherokee Bluffs,757,High
Cherokee Brook Estates,758,High
Cherokee Forest,759,High
Cherokee Village,760,High
Cherry Grove,761,High
Cherrytree,762,High
Chesson,763,High
Chestang,764,High
Chesterfield,765,High
Chestnut,766,High
Chestnut Glen,767,High
Chestnut Grove,768,High
Chestnut Ridge,769,High
Chetopa,770,High
Chewacla,771,High
Chickasaw,772,High
Chickasaw Heights,773,High
Chico,774,High
Chilton,775,High
Chigger Hill,776,High
Childersburg,777,High
China,778,High
China Grove,779,High
Chinn,780,High
Chinnabee,781,High
Chisholm,782,High
Choccolocco,783,High
Choctaw Corner,784,High
Choctaw Hills,785,High
Christiana,786,High
Christmas Landing,787,High
Chrysler,788,High
Chulafinnee,789,High
Chulavista,790,High
Chunchula,791,High
Chunnenuggee,792,High
Chisca,793,High
Churntown,794,High
Citico,795,High
Citronelle,796,High
Clackville,797,High
Claiborne,798,High
Claiborne Landing,799,High
Clairmont Springs,800,High
Choctaw Bluff,801,High
Clarence,802,High
Clark,803,High
Clark Crossroads,804,High
Clarkdale,805,High
Clarke,806,High
Clarksville,807,High
Clarksville Landing,808,High
Clay,809,High
Clay City,810,High
Clayborn,811,High
Clayhatchee,812,High
Choctaw City,813,High
Clanton,814,High
Clayhill,815,High
Claysville,816,High
Clayton,817,High
Clear Creek Estates,818,High
Clear Springs,819,High
Clearview,820,High
Cleburne,821,High
Clemons Crossroad,822,High
Cleveland Crossroads,823,High
Cleveland Mills,824,High
Cliff Haven,825,High
Clift Acres,826,High
Claud,827,High
Clifty,828,High
Clinton,829,High
Clintonville,830,High
Clio,831,High
Cloester Valley,832,High
Clopton,833,High
Clough,834,High
Clover Hill,835,High
Cloverdale,836,High
Cloverdale Heights,837,High
Clowers Crossroads,838,High
Clubview Heights,839,High
Cluttsville,840,High
Clyde Jones Subdivision,841,High
Coal Bluff,842,High
Coal City,843,High
Coal Fire,844,High
Coal Valley,845,High
Coalburg,846,High
Coaldale,847,High
Coaling,848,High
Coalmont,849,High
Coates,850,High
Coatopa,851,High
Cobb City,852,High
Cobbs Ford,853,High
Cobbs Quarters,854,High
Cochran Landing,855,High
Cochrane,856,High
Coden,857,High
Coffee Springs,858,High
Coffeeville,859,High
Cohassett,860,High
Coffeeville Landing,861,High
Coker,862,High
Coker Heights,863,High
Colbert,864,High
Colbert Heights,865,High
Cold Spring,866,High
Cold Springs,867,High
Coldwater,868,High
Cole Spring,869,High
Coleanor,870,High
Coleman,871,High
Coleta,872,High
Colina,873,High
Collbran,874,High
Collins,875,High
Collins Chapel,876,High
Collinsville,877,High
Collirene,878,High
Colonial Heights,879,High
Colony,880,High
Columbia,881,High
Columbiana,882,High
Columbus City,883,High
Colvin,884,High
Colvins Gap,885,High
Colwell,886,High
Comerdale,887,High
Comer,888,High
Commerce,889,High
Compton Landing,890,High
Concord,891,High
Confederate Estates,892,High
Confederate Hill Estates,893,High
Confluence,894,High
Congo,895,High
Consul,896,High
Contwell,897,High
Cooks,898,High
Cooks Crossroads,899,High
Cooks Springs,900,High
Cool Springs,901,High
Cooley Crossroads,902,High
Coon Creek,903,High
Cooper,904,High
Coopers Mill,905,High
Coosa Court,906,High
Coosa Pines,907,High
Coosa River,908,High
Coosada,909,High
Copeland,910,High
Copeland Bridge,911,High
Copeland Gap,912,High
Copper Springs,913,High
Coppinville,914,High
Corbin,915,High
Corbinville,916,High
Corcoran,917,High
Cordova,918,High
Corinth,919,High
Corner,920,High
Cornerstone,921,High
Cornhouse,922,High
Cornwall Furnace,923,High
Corona,924,High
Cortelyou,925,High
Cottage Grove,926,High
Cotton Ridge,927,High
Cotton Valley,928,High
Cottondale,929,High
Cottonton,930,High
Cottontown,931,High
Cottonville,932,High
Cotton,933,High
Cotton Hill,934,High
Couch,935,High
Council Bluff,936,High
Country Club Acres,937,High
Cottage Hill,938,High
Cottonwood,939,High
Country Club Estates,940,High
Country Club Village,941,High
Country Estates,942,High
Country Hills,943,High
Countryside Estates,944,High
County Line,945,High
Courtland,946,High
Covin,947,High
Cowarts,948,High
Cowpens,949,High
Cox,950,High
Cox Beach,951,High
Cox Gap,952,High
Coxey,953,High
Coxey Creek Subdivision,954,High
Coxheath,955,High
Coxs Landing,956,High
Coy,957,High
Cragford,958,High
Crane Hill,959,High
Crawford,960,High
Crawford Fork,961,High
Creek Stand,962,High
Creel,963,High
Creola,964,High
Crescent Heights,965,High
Crest,966,High
Crestline Gardens,967,High
Crestline Heights,968,High
Crestline Park,969,High
Crestview Estates,970,High
Crestview Gardens,971,High
Crestview Hills,972,High
Creswell,973,High
Crews,974,High
Crews Mobile Home Park,975,High
Crewsville,976,High
Crichton,977,High
Crockard Junction,978,High
Crocker Junction,979,High
Crockertown,980,High
Cromwell,981,High
Crooked Oak,982,High
Cropwell,983,High
Crosby,984,High
Cross Key,985,High
Cross Keys,986,High
Crossroad,987,High
Crossroads,988,High
Crosston,989,High
Crossville,990,High
Crowtown,991,High
Crudup,992,High
Crumley Chapel,993,High
Crumptonia,994,High
Crystal Springs,995,High
Cuba,996,High
Culebra,997,High
Cullman,998,High
Cullomburg,999,High
Culpeper,1000,High
Cumbee Mill,1001,High
Cumberland Junction,1002,High
Cunningham,1003,High
Cunningham Landing,1004,High
Curbville,1005,High
Curry,1006,High
Currys,1007,High
Curt,1008,High
Curtis,1009,High
Curtis Crossroads,1010,High
Curtiston,1011,High
Cushion,1012,High
Cusseta,1013,High
Cypress,1014,High
Cypress Heights,1015,High
Cyril,1016,High
Dolive,1017,High
Dadeville,1018,High
Daisey City,1019,High
Daisey City Trailer Park,1020,High
Daisy,1021,High
Daleville,1022,High
Damascus,1023,High
Dancy,1024,High
Danielsville,1025,High
Danleys Crossroads,1026,High
Danville,1027,High
Danway,1028,High
Danzey,1029,High
Daphne,1030,High
Dargin,1031,High
Darling Landing,1032,High
Darlington,1033,High
Darrah,1034,High
Dart,1035,High
Darwin Downs,1036,High
Dauphin Island,1037,High
Davenport,1038,High
Davis Crossroads,1039,High
Davis Hills,1040,High
Davis Landing,1041,High
Davis Subdivision,1042,High
Davistown,1043,High
Daviston,1044,High
Davisville,1045,High
Dawes,1046,High
Dawson,1047,High
Dawsons,1048,High
Dayton,1049,High
Dearmanville,1050,High
Defoor,1051,High
Deans,1052,High
Deans Landing,1053,High
Deas,1054,High
Deason Hill,1055,High
Deatsville,1056,High
Deavers Town,1057,High
Decatur,1058,High
Debardeleben,1059,High
Decatur Junction,1060,High
Deer Head Cove,1061,High
Deer Park,1062,High
Deerhurst,1063,High
Dees,1064,High
Delchamps,1065,High
Dells Vista Shores,1066,High
Delma,1067,High
Delmar,1068,High
Delta,1069,High
Demopolis,1070,High
Dempsey,1071,High
Denson,1072,High
Denton Acres,1073,High
Deposit,1074,High
Derby,1075,High
Dewey,1076,High
Dexter,1077,High
Diamond,1078,High
Dickert,1079,High
Dickinson,1080,High
Dill,1081,High
Dillard,1082,High
Dillburg,1083,High
Dilworth,1084,High
Dingler,1085,High
Dixie,1086,High
Dixie Springs,1087,High
Dixon Corner,1088,High
Dixon Shop,1089,High
Dixons Mills,1090,High
Dixonville,1091,High
Docena,1092,High
Docray,1093,High
Dodge City,1094,High
Dog Town,1095,High
Dogtown,1096,High
Dogwood,1097,High
Dogwood Acres,1098,High
Dogwood Estates,1099,High
Dogwood Point,1100,High
Doliska,1101,High
Dollar,1102,High
Dolomite,1103,High
Dolonar,1104,High
Dolonar Junction,1105,High
Dominick,1106,High
Donald,1107,High
Doolans,1108,High
Donaldson Mill,1109,High
Dora,1110,High
Dora Junction,1111,High
Doster,1112,High
Dosterville,1113,High
Dothan,1114,High
Double Bridges,1115,High
Double Springs,1116,High
Doublehead,1117,High
Douglas,1118,High
Douglasville,1119,High
Dove,1120,High
Dovertown,1121,High
Dowdle,1122,High
Downs,1123,High
Doyle,1124,High
Dozier,1125,High
Drewry,1126,High
Drifton,1127,High
Driftwood,1128,High
Dripping Springs,1129,High
Drummond,1130,High
Dry Forks,1131,High
Dry Valley,1132,High
Dublin,1133,High
Duck Springs,1134,High
Dudley,1135,High
Dudleys,1136,High
Dudleyville,1137,High
Duff Settlement,1138,High
Dug Hill,1139,High
Duke,1140,High
Duketon,1141,High
Dunavant,1142,High
Dunbar,1143,High
Duncan,1144,High
Dunbarton Oaks,1145,High
Duncan Crossroads,1146,High
Duncanville,1147,High
Dundee,1148,High
Dunn,1149,High
Dunns,1150,High
Dunrowin,1151,High
Dupree,1152,High
Dutton,1153,High
Duvall,1154,High
Dwight,1155,High
Dyas,1156,High
Dyers Crossroads,1157,High
Dykes Crossroad,1158,High
Eady City,1159,High
Eagle,1160,High
Eagle Creek,1161,High
Eagle Ridge,1162,High
Earlville,1163,High
Earlytown,1164,High
Easley,1165,High
East Bend,1166,High
East Birmingham,1167,High
East Boyles,1168,High
East Brewton,1169,High
East Brighton,1170,High
East Brookwood,1171,High
East Centreville,1172,High
East Chapman,1173,High
East Florence,1174,High
East Gadsden,1175,High
East Gate Estates,1176,High
East Hampton,1177,High
East Haven,1178,High
East Irondale,1179,High
East Killen,1180,High
East Lake,1181,High
East Limestone,1182,High
East Mill,1183,High
East Point,1184,High
East Port Landing,1185,High
East Sheffield,1186,High
East Saginaw,1187,High
East Thomas,1188,High
East Thomas Gardens,1189,High
East Town,1190,High
Eastaboga,1191,High
Eastern Valley,1192,High
Easton,1193,High
Eastwood,1194,High
Echo,1195,High
Echo Hills,1196,High
Echola,1197,High
Echols Crossroads,1198,High
Echols Hill,1199,High
Eclectic,1200,High
Eddings Town,1201,High
Eddy,1202,High
Eden,1203,High
Eden Ridge,1204,High
Edgemont,1205,High
Edgefield,1206,High
Edgemont Park,1207,High
Edgemoor Estates,1208,High
Edgewater,1209,High
Edgewater Junction,1210,High
Edgewood,1211,High
Edgil,1212,High
Edgewood Mobile Home Park,1213,High
Edmond,1214,High
Edmonton Heights,1215,High
Edna,1216,High
Edsons,1217,High
Edwardsville,1218,High
Egypt,1219,High
Edwin,1220,High
Eight Mile,1221,High
Eiler,1222,High
Elamville,1223,High
Elba,1224,High
Elberta,1225,High
Eldridge,1226,High
Eleanor,1227,High
Elgin,1228,High
Eliska,1229,High
Eliza,1230,High
Elk Estates,1231,High
Elkmont,1232,High
Elko,1233,High
Elkwood,1234,High
Ellards,1235,High
Ellaville,1236,High
Elliotsville,1237,High
Elliott Crossroads,1238,High
Ellis,1239,High
Ellis Crossroads,1240,High
Ellison Crossroads,1241,High
Ellisville,1242,High
Elm Bluff,1243,High
Elmore,1244,High
Elon,1245,High
Elrath,1246,High
Elrod,1247,High
Elsanor,1248,High
Elvira,1249,High
Elyton,1250,High
Emauhee,1251,High
Embry Bend,1252,High
Embry Crossroads,1253,High
Emco-Listerhill Junction,1254,High
Emelle,1255,High
Emerald Shores,1256,High
Emory,1257,High
Empire,1258,High
Enchanted Hills,1259,High
Englewood,1260,High
English Village,1261,High
Enoe,1262,High
Enon,1263,High
Ensley,1264,High
Ensley Junction,1265,High
Enterprise,1266,High
Eoda,1267,High
Eoline,1268,High
Epes,1269,High
Epworth,1270,High
Equality,1271,High
Erin,1272,High
Erratta,1273,High
Escatawpa,1274,High
Estelle,1275,High
Estes Crossroads,1276,High
Estillfork,1277,High
Estothel,1278,High
Ethelsville,1279,High
Euclid Estates,1280,High
Eufaula,1281,High
Eulaton,1282,High
Eunola,1283,High
Eureka,1284,High
Eutaw,1285,High
Eureka Landing,1286,High
Eva,1287,High
Evansboro,1288,High
Evansville,1289,High
Everglade,1290,High
Ewell,1291,High
Evergreen,1292,High
Ewing,1293,High
Ewing Farms,1294,High
Excel,1295,High
Exie,1296,High
Exmoor,1297,High
Exum,1298,High
Ezell,1299,High
Ezra,1300,High
Fabius,1301,High
Fackler,1302,High
Fadette,1303,High
Failetown,1304,High
Fair Oaks,1305,High
Fair Park,1306,High
Fair View,1307,High
Fairdale,1308,High
Fairfield,1309,High
Fairfield Highlands,1310,High
Fairfield Village,1311,High
Fairford,1312,High
Fairhope,1313,High
Fairlane,1314,High
Fairmount,1315,High
Fairnelson,1316,High
Fairview,1317,High
Fairview West,1318,High
Falakto,1319,High
Falco,1320,High
